image_index,relative_enthalpy_meV_per_formula_unit,volume_A3,relative_volume_percent,soft $\Gamma$ (-217 cm$^{-1}$)_norm_sqrt_amu_A,stable $\Gamma$ (128 cm$^{-1}$)_norm_sqrt_amu_A,stable $\Gamma$ (331 cm$^{-1}$)_norm_sqrt_amu_A
0,0.0,67.50896106247043,0.0,1.204329877658888,0.286287904661122,0.04601255610419467
1,2.2197999001036806,67.10823235356906,-0.5935933579699904,1.121807874347402,0.2068315401753506,0.05512599673694233
2,8.12320000022737,66.77111669547376,-1.092957668706962,1.0220226725938697,0.12610657218480245,0.06027828847962637
3,19.535600000381237,66.38976861537536,-1.6578427952096741,0.8745860771135857,0.037929526190059785,0.059243320213443744
4,41.53670010009591,65.87248212706035,-2.4240914237974143,0.6348303040499015,0.041937241658096064,0.04311609182585185
5,71.66490039981,65.49714688958034,-2.980069817736397,0.3253054318189717,0.04652875450378547,0.021169792543902773
6,87.1289016999981,65.36438307828914,-3.1767308375502568,1.1305973916688098e-15,2.8345367433046593e-15,1.0909216155048265e-15
